name,email,phone,Age,Gender,Race,Department,DailyRate,MonthlyIncome,YearsAtCompany,shortlisted
Person_0,person0@example.com,555-555-0000,51-60,Female,White,Marketing,1219,4511,2,0
Person_1,person1@example.com,555-555-0001,41-50,Male,Asian,IT,1133,7060,12,0
Person_2,person2@example.com,555-555-0002,31-40,Male,White,Sales,1112,6147,19,0
Person_3,person3@example.com,555-555-0003,51-60,Female,Black,HR,1165,5952,6,0
Person_4,person4@example.com,555-555-0004,31-40,Male,White,IT,NaN,5780,18,0
Person_5,person5@example.com,555-555-0005,51-60,Female,Asian,Marketing,1055,6700,10,1
Person_6,person6@example.com,555-555-0006,20-30,Female,White,HR,1005,6999,12,0
Person_7,person7@example.com,555-555-0007,31-40,Female,White,Sales,985,6142,12,0
Person_8,person8@example.com,555-555-0008,31-40,Male,Asian,Marketing,1044,6980,14,1
Person_9,person9@example.com,555-555-0009,31-40,Female,Hispanic,IT,1048,NaN,15,0
Person_10,person10@example.com,555-555-0010,41-50,Male,White,Sales,1065,6155,1,0
Person_11,person11@example.com,555-555-0011,20-30,Female,Black,HR,1001,6018,7,1
Person_12,person12@example.com,555-555-0012,31-40,Male,White,IT,NaN,6144,3,0
Person_13,person13@example.com,555-555-0013,51-60,Female,Asian,Marketing,1044,NaN,11,0
Person_14,person14@example.com,555-555-0014,31-40,Male,White,Sales,1112,6150,13,0
Person_15,person15@example.com,555-555-0015,20-30,Female,Black,HR,985,6048,5,1
Person_16,person16@example.com,555-555-0016,41-50,Male,Asian,IT,1065,6985,8,0
Person_17,person17@example.com,555-555-0017,41-50,Female,White,Marketing,1005,6147,17,0
Person_18,person18@example.com,555-555-0018,31-40,Male,Hispanic,Sales,1048,6012,9,1
Person_19,person19@example.com,555-555-0019,31-40,Female,White,HR,1112,6155,4,0
Person_20,person20@example.com,555-555-0020,51-60,Male,Asian,IT,985,6980,16,0
Person_21,person21@example.com,555-555-0021,31-40,Female,Black,Marketing,1065,6042,6,1
Person_22,person22@example.com,555-555-0022,41-50,Male,White,Sales,1005,6144,12,0
Person_23,person23@example.com,555-555-0023,20-30,Female,Hispanic,HR,1048,6018,3,0
Person_24,person24@example.com,555-555-0024,41-50,Male,Asian,IT,1112,6985,15,1
Person_25,person25@example.com,555-555-0025,31-40,Female,White,Marketing,NaN,6147,7,0
Person_26,person26@example.com,555-555-0026,41-50,Male,Black,Sales,985,6048,19,0
Person_27,person27@example.com,555-555-0027,51-60,Female,White,HR,1065,6155,2,1
Person_28,person28@example.com,555-555-0028,31-40,Male,Asian,IT,1005,6980,10,0
Person_29,person29@example.com,555-555-0029,31-40,Female,Hispanic,Marketing,1048,6012,5,0
Person_30,person30@example.com,555-555-0030,41-50,Male,White,Sales,1112,6144,13,1
Person_31,person31@example.com,555-555-0031,20-30,Female,Black,HR,985,6042,8,0
Person_32,person32@example.com,555-555-0032,31-40,Male,Asian,IT,1065,6985,16,0
